id,host_id,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,Location
718469772693217183,184466221,within an hour,100%,96%,Mount Pleasant,-34.7791637642793,139.04115591198206,Farm stay,Entire home/apt,2,1 bath,1.0,[],$189.00,16,14,0,2022-10-21,2023-10-29,5.0,5.0,5.0,5.0,5.0,4.81,4.94,1.11,barossa_valley_sa
719047800996826519,480091620,within an hour,100%,100%,Tanunda,-34.50115,138.95877,Farm stay,Entire home/apt,8,2.5 baths,4.0,[],$758.00,5,5,1,2022-12-31,2023-12-04,4.8,4.8,4.6,5.0,5.0,5.0,4.6,0.42,barossa_valley_sa
730052627340589289,384908171,within an hour,100%,100%,Moculta,-34.50764,139.05808,Private room in guest suite,Private room,3,1 private bath,1.0,[],$171.00,25,25,1,2023-04-09,2023-12-03,4.96,4.96,5.0,5.0,4.92,5.0,4.88,2.86,barossa_valley_sa
741764023269405028,82430837,within an hour,100%,100%,Nuriootpa,-34.4915714,138.9647129,Entire villa,Entire home/apt,10,3 baths,5.0,[],"$1,650.00",7,6,0,2022-12-03,2023-06-04,5.0,4.86,5.0,4.86,5.0,5.0,4.86,0.54,barossa_valley_sa
747532233690769175,69323160,within an hour,100%,98%,Williamstown,-34.690289509990635,138.88428203707855,Entire guesthouse,Entire home/apt,2,1 bath,1.0,[],$156.00,93,91,5,2022-12-04,2023-12-23,4.95,4.98,4.96,4.97,4.98,4.9,4.91,7.19,barossa_valley_sa
752288334648314435,486246058,within an hour,100%,97%,Tanunda,-34.53263,138.95184,Entire home,Entire home/apt,7,1.5 baths,4.0,[],$475.00,22,22,0,2022-12-29,2023-11-12,4.86,4.86,4.77,4.95,4.82,4.95,4.68,1.82,barossa_valley_sa
759182781379305366,487505306,within an hour,100%,100%,Angaston,-34.500007838466324,139.05094600793458,Entire rental unit,Entire home/apt,6,1 bath,3.0,[],$338.00,2,2,0,2023-09-16,2023-09-27,4.0,3.5,4.5,4.5,4.5,4.5,3.5,0.59,barossa_valley_sa
759792078949787887,439331891,within an hour,100%,100%,Bethany,-34.55312,138.9787,Entire villa,Entire home/apt,6,2 baths,3.0,[],$386.00,21,21,0,2022-12-30,2023-11-21,4.57,4.67,4.48,4.95,4.86,4.9,4.52,1.74,barossa_valley_sa
763963393371961799,49528952,within an hour,100%,100%,Tanunda,-34.521603,138.9535283,Entire cottage,Entire home/apt,4,1 bath,2.0,[],$328.00,59,57,3,2022-12-03,2023-12-19,5.0,5.0,5.0,5.0,5.0,5.0,4.97,4.55,barossa_valley_sa
769284218607966142,23021110,within an hour,100%,67%,Nuriootpa,-34.48161,138.996,Private room in home,Private room,2,1 private bath,1.0,[],$70.00,2,1,1,2022-12-04,2023-12-19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.15,barossa_valley_sa
774846500587966707,439331891,within an hour,100%,100%,Nuriootpa,-34.46777,138.97035,Entire home,Entire home/apt,8,2 baths,4.0,[],$318.00,13,13,0,2023-02-14,2023-09-11,4.46,4.46,4.62,4.77,4.54,4.69,4.46,1.23,barossa_valley_sa
781290494667105373,491342431,within an hour,100%,99%,Tanunda,-34.5203488,138.9656976,Entire home,Entire home/apt,6,1 bath,3.0,[],$400.00,46,46,1,2023-02-12,2023-12-05,4.93,4.87,4.87,4.96,4.98,5.0,4.67,4.34,barossa_valley_sa
783490048796437005,107089614,within an hour,100%,100%,Tanunda,-34.514579,138.977819,Entire bungalow,Entire home/apt,6,1 bath,2.0,[],$307.00,36,36,4,2023-02-13,2023-12-22,4.89,4.92,4.92,4.97,5.0,4.92,4.78,3.41,barossa_valley_sa
784244778617200952,487505306,within an hour,100%,100%,Angaston,-34.50004320611457,139.05103183862306,Entire rental unit,Entire home/apt,6,1 bath,3.0,[],$359.00,2,2,0,2023-10-30,2023-11-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.03,barossa_valley_sa
792372489987708648,493274930,within an hour,100%,98%,Gawler River,-34.62867,138.6437,Entire guesthouse,Entire home/apt,6,1 bath,2.0,[],$165.00,41,41,3,2023-01-18,2023-12-08,4.81,4.83,4.67,4.95,4.93,4.79,4.86,3.59,barossa_valley_sa
794335948088291886,493655266,within an hour,100%,100%,Kapunda,-34.3602,138.8907,Entire guesthouse,Entire home/apt,6,1 bath,3.0,[],$296.00,20,20,3,2023-04-10,2023-12-17,5.0,4.9,4.9,4.95,5.0,4.95,4.85,2.3,barossa_valley_sa
798143975652518850,85597526,within an hour,100%,100%,Mount Crawford,-34.771432,138.977761,Tiny home,Entire home/apt,2,1 bath,1.0,[],$250.00,62,62,5,2023-01-27,2023-12-22,5.0,5.0,4.98,5.0,5.0,4.97,4.97,5.57,barossa_valley_sa
803889383750048082,495954773,within an hour,100%,100%,Lyndoch,-34.6064501,138.8820816,Entire home,Entire home/apt,8,2 baths,5.0,[],$379.00,9,9,0,2023-02-18,2023-11-11,5.0,4.89,5.0,5.0,5.0,5.0,5.0,0.87,barossa_valley_sa
812465538310166564,86727693,within a few hours,100%,96%,Kapunda,-34.33822,138.91862,Private room in bed and breakfast,Private room,3,1 private bath,2.0,[],$250.00,6,6,0,2023-02-28,2023-10-15,5.0,5.0,5.0,5.0,5.0,5.0,4.83,0.6,barossa_valley_sa
815514103907302166,497989134,within an hour,100%,100%,Marananga,-34.48908,138.92294,Tent,Entire home/apt,2,1 bath,1.0,[],$331.00,4,4,1,2023-04-07,2023-12-04,4.5,5.0,5.0,5.0,4.5,4.5,4.25,0.45,barossa_valley_sa
815516113841270903,497989134,within an hour,100%,100%,Marananga,-34.48736,138.92421,Tent,Entire home/apt,2,1 bath,1.0,[],$331.00,4,4,0,2023-04-19,2023-05-24,3.75,4.25,4.0,4.75,4.0,4.25,3.75,0.48,barossa_valley_sa
815520308911596745,497989134,within an hour,100%,100%,Marananga,-34.48777,138.92504,Tent,Entire home/apt,2,1 bath,1.0,[],$331.00,3,3,0,2023-04-09,2023-10-14,4.67,4.33,4.33,3.67,4.33,4.67,4.0,0.34,barossa_valley_sa
815521436422254325,497989134,within an hour,100%,100%,Marananga,-34.48924,138.92363,Tent,Entire home/apt,2,1 bath,1.0,[],$331.00,5,5,0,2023-04-23,2023-11-11,4.6,5.0,4.6,5.0,4.8,4.8,4.2,0.6,barossa_valley_sa
818346280706439704,499283772,within a day,100%,100%,Lyndoch,-34.57512,138.86588,Entire home,Entire home/apt,16,11 baths,12.0,[],"$2,500.00",1,1,0,2023-11-05,2023-11-05,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.58,barossa_valley_sa
821437484393218459,86727693,within a few hours,100%,96%,Kapunda,-34.3381,138.92034,Private room in bed and breakfast,Private room,5,2 baths,3.0,[],$450.00,1,1,1,2023-12-17,2023-12-17,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,barossa_valley_sa
821920419282972252,78710746,within an hour,100%,100%,Tanunda,-34.53751,138.95358,Entire home,Entire home/apt,4,1 bath,2.0,[],$375.00,37,37,2,2023-03-24,2023-12-18,4.86,4.95,4.95,5.0,5.0,4.84,4.86,3.99,barossa_valley_sa
822878704187927793,128798728,within an hour,100%,93%,Angaston,-34.495766,139.0435064,Private room in guesthouse,Private room,2,1 bath,1.0,[],$182.00,13,13,4,2023-08-20,2023-12-09,4.77,4.77,4.77,4.92,4.92,4.92,4.69,3.02,barossa_valley_sa
822930476514810622,47672122,within an hour,100%,100%,Tanunda,-34.52381,138.95723,Entire guest suite,Entire home/apt,4,1 bath,2.0,[],$204.00,34,34,5,2023-03-12,2023-12-18,5.0,5.0,5.0,5.0,5.0,4.97,4.88,3.52,barossa_valley_sa
825038296557859465,175822582,within an hour,100%,100%,Tanunda,-34.5267025,138.9571473,Entire home,Entire home/apt,5,1 bath,3.0,[],$472.00,33,33,3,2023-03-13,2023-12-16,4.97,4.97,5.0,4.97,4.97,4.94,4.79,3.43,barossa_valley_sa
825047876832990063,175822582,within an hour,100%,100%,Tanunda,-34.5267025,138.9571473,Entire rental unit,Entire home/apt,6,1 bath,3.0,[],$472.00,22,22,1,2023-03-26,2023-12-02,5.0,5.0,5.0,4.95,5.0,5.0,4.91,2.39,barossa_valley_sa
832029740889145365,497989134,within an hour,100%,100%,Marananga,-34.50419,138.9327,Entire cabin,Entire home/apt,4,1 bath,3.0,[],$403.00,8,8,0,2023-04-13,2023-11-25,4.63,4.75,4.63,4.63,4.63,4.88,4.13,0.93,barossa_valley_sa
832043904378090270,497989134,within an hour,100%,100%,Marananga,-34.50408,138.93048,Entire cabin,Entire home/apt,2,1 bath,1.0,[],$385.00,10,10,0,2023-03-31,2023-11-04,5.0,4.9,4.7,5.0,4.9,5.0,4.6,1.11,barossa_valley_sa
845922754899608416,335068302,within an hour,100%,100%,Kapunda,-34.301957,138.8542431,Entire cottage,Entire home/apt,6,1 bath,3.0,[],$455.00,3,3,0,2023-05-28,2023-10-02,4.67,5.0,5.0,4.33,5.0,5.0,5.0,0.42,barossa_valley_sa
848070741154984852,505423341,within a few hours,100%,93%,Greenock,-34.45791,138.93141,Entire home,Entire home/apt,7,1.5 baths,5.0,[],$371.00,6,6,0,2023-04-23,2023-10-08,4.86,4.57,5.0,4.43,4.86,5.0,4.43,0.73,barossa_valley_sa
855244046779105277,469195852,within an hour,90%,100%,Angaston,-34.510605,139.019844,Entire home,Entire home/apt,10,3 baths,7.0,[],$900.00,11,11,1,2023-04-09,2023-12-03,4.91,4.82,5.0,5.0,5.0,4.91,4.91,1.26,barossa_valley_sa
859856068881777318,241630453,within an hour,100%,98%,Tanunda,-34.51673,138.96701,Entire home,Entire home/apt,7,2 baths,5.0,[],$320.00,5,5,0,2023-09-10,2023-11-05,4.8,4.8,4.8,5.0,5.0,5.0,5.0,1.39,barossa_valley_sa
