id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,Location
973768850009500221,19548451,2014-08-06,"Perth, Australia",within a few hours,100%,57%,f,t,t,COCKBURN,-32.08115,115.78231,Entire rental unit,Entire home/apt,3,1 bath,2.0,[],$170.00,3,3,1,2023-10-05,2023-11-25,4.67,5.0,4.67,5.0,5.0,5.0,5.0,2,2,0,0,1.13,wa
21521151,71760571,2016-05-13,"Dunsborough, Australia",within an hour,94%,97%,f,t,t,BUSSELTON,-33.60998,115.10657,Entire home,Entire home/apt,10,3 baths,7.0,[],"$1,107.00",32,6,1,2017-12-10,2023-12-05,4.88,5.0,4.91,4.94,4.84,5.0,4.75,17,17,0,0,0.44,wa
47735407,1305359,2011-10-18,"Bali, Indonesia",within a few hours,100%,89%,t,t,t,VINCENT,-31.93638,115.86599,Entire rental unit,Entire home/apt,2,1 bath,1.0,[],$163.00,220,51,3,2021-01-30,2023-12-08,4.79,4.75,4.71,4.82,4.95,4.84,4.7,1,1,0,0,6.24,wa
53206543,254287546,2019-04-09,"Quindalup, Australia",within an hour,100%,100%,t,t,t,BUSSELTON,-33.62453,115.12058,Entire guest suite,Entire home/apt,2,1 bath,1.0,[],$245.00,45,25,3,2021-11-28,2023-12-04,4.98,5.0,5.0,4.96,5.0,4.89,4.82,1,1,0,0,1.79,wa
631442780773297523,143601738,2017-07-31,"Perth, Australia",within an hour,100%,97%,f,t,t,STIRLING,-31.88787779962954,115.77300906334273,Entire home,Entire home/apt,7,1.5 baths,4.0,[],$704.00,14,14,3,2023-08-17,2023-12-16,4.87,4.87,5.0,4.93,4.93,4.93,4.87,2,2,0,0,3.23,wa
12075712,20958156,2014-09-05,"East Fremantle, Australia",within a day,100%,44%,f,t,t,BUSSELTON,-33.6095,115.10579,Entire home,Entire home/apt,10,3 baths,7.0,[],$620.00,58,1,0,2016-04-25,2023-11-09,4.88,4.91,4.88,4.93,4.81,4.91,4.54,1,1,0,0,0.62,wa
25270430,115257197,2017-02-06,"Yallingup, Australia",within an hour,100%,100%,t,t,t,BUSSELTON,-33.61025,115.10698,Entire home,Entire home/apt,6,2 baths,4.0,[],$826.00,12,4,0,2020-08-02,2023-11-06,5.0,5.0,4.92,5.0,5.0,5.0,4.75,16,16,0,0,0.29,wa
4226672,10336535,2013-11-29,"Western Australia, Australia",within an hour,100%,99%,f,t,t,SUBIACO,-31.95927,115.81725,Entire rental unit,Entire home/apt,2,1 bath,1.0,[],$134.00,67,3,0,2014-11-21,2023-10-31,4.45,4.59,4.4,4.86,4.84,4.74,4.32,4,4,0,0,0.61,wa
659901948966359949,151275673,2017-09-19,"Melville, Australia",within an hour,100%,100%,f,t,t,MELVILLE,-32.03701,115.80515,Entire home,Entire home/apt,6,3 baths,5.0,[],"$1,300.00",1,1,0,2023-03-31,2023-03-31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.11,wa
22693568,71760571,2016-05-13,"Dunsborough, Australia",within an hour,94%,97%,f,t,t,BUSSELTON,-33.60994,115.10637,Entire home,Entire home/apt,10,2 baths,7.0,[],$642.00,20,1,0,2018-04-02,2023-02-19,4.9,5.0,4.85,5.0,5.0,5.0,4.7,17,17,0,0,0.29,wa
